"For Love of the Game","For Love of the Game"
"Halloween Resurrection","Halloween Resurrection"
"The Way to the Gold","The Way to the Gold"
"The Badlanders","The Badlanders"
"The Beast of the City","The Beast of the City"
"Three Violent People","Three Violent People"
"Inland Empire","Inland Empire"
"Death to Smoochy","Death to Smoochy"
"Fixed Bayonets!","Fixed Bayonets!"
"Chances Are","Chances Are"
"Universal Soldier: The Return","Universal Soldier: The Return"
"3 Strikes","3 Strikes"
"Brain Donors","Brain Donors"
"The Adventures of Buckaroo Banzai Across the 8th Dimension","The Adventures of Buckaroo Banzai Across the 8th Dimension"
"Dylan Dog: Dead of Night","Dylan Dog: Dead of Night"
"Welcome to Mooseport","Welcome to Mooseport"
"Vice Versa","Vice Versa"
"The Killing Fields","The Killing Fields"
"The Seven Little Foys","The Seven Little Foys"
"Down and Out in Beverly Hills","Down and Out in Beverly Hills"
"Inkheart","Inkheart"
"Gung Ho!","Gung Ho!"
"Fire with Fire","Fire with Fire"
"Tortilla Soup","Tortilla Soup"
"K2","K2"
"House Party 3","House Party 3"
"The Bone Collector","The Bone Collector"
"House Party 2","House Party 2"
"Bambi","Bambi"
"Man Trouble","Man Trouble"
"Get Smart","Get Smart"
"Foreign Correspondent","Foreign Correspondent"
"Pieces of April","Pieces of April"
"Down to Earth","Down to Earth"
"Serenity","Serenity"
"Fatal Attraction","Fatal Attraction"
"Charlie's Angels: Full Throttle","Charlie's Angels: Full Throttle"
"The Lost Skeleton of Cadavra","The Lost Skeleton of Cadavra"
"Rocket Science","Rocket Science"
"Paradise Murdered","Paradise Murdered"
"Queen of the Damned","Queen of the Damned"
"Police Academy 3: Back in Training","Police Academy 3: Back in Training"
"Hello Dolly!","Hello Dolly!"
"The Man in the Gray Flannel Suit","The Man in the Gray Flannel Suit"
"Miracle on 34th Street","Miracle on 34th Street"
"A Far Off Place","A Far Off Place"
"Man in the Dark","Man in the Dark"
"Not Easily Broken","Not Easily Broken"
"Tie Me Up! Tie Me Down!","Tie Me Up! Tie Me Down!"
"Boiling Point","Boiling Point"
"An Unmarried Woman","An Unmarried Woman"
"Son of Paleface","Son of Paleface"
"Drop Zone","Drop Zone"
"Halloween 4: The Return of Michael Myers","Halloween 4: The Return of Michael Myers"
"Saturn 3","Saturn 3"
"Whip It!","Whip It!"
"Sesame Street presents Follow That Bird","Sesame Street presents Follow That Bird"
"3-Iron","3-Iron"
"Juice","Juice"
"Hall Pass","Hall Pass"
"La Fille de Monaco","La Fille de Monaco"
"Gymkata","Gymkata"
"The Son of No One","The Son of No One"
"Troll","Troll"
"School for Scoundrels","School for Scoundrels"
"Jury Duty","Jury Duty"
"Three Colors: Blue","Three Colors: Blue"
"Major League","Major League"
"She-Devil","She-Devil"
"Just My Luck","Just My Luck"
"The Last Picture Show","The Last Picture Show"
"A Reasonable Man","A Reasonable Man"
"Camp Nowhere","Camp Nowhere"
"Life During Wartime","Life During Wartime"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
"Fool's Gold","Fool's Gold"
"Selena","Selena"
"Puss in Boots","Puss in Boots"
"The Straight Story","The Straight Story"
"Adrenalin: Fear the Rush","Adrenalin: Fear the Rush"
"The X Files 2","The X Files 2"
"Er Conde Jones","Er Conde Jones"
"Boat Trip","Boat Trip"
"An American Tail: Fievel Goes West","An American Tail: Fievel Goes West"
"Battle of the Brides","Battle of the Brides"
"Just Between Friends","Just Between Friends"
"Lolita","Lolita"
"Meet Me at the Fair","Meet Me at the Fair"
"Twelve Monkeys","Twelve Monkeys"
"Revenge of the Musketeers","Revenge of the Musketeers"
"Baby: Secret of the Lost Legend","Baby: Secret of the Lost Legend"
"Teen Wolf Too","Teen Wolf Too"
"Shine","Shine"
"K-19: The Widowmaker","K-19: The Widowmaker"
"Shallow Hal","Shallow Hal"
"Trouble Along the Way","Trouble Along the Way"
"The Hunted","The Hunted"
"Far From Home: The Adventures of Yellow Dog","Far From Home: The Adventures of Yellow Dog"
"Kaboom","Kaboom"
"Sa-kwa","Sa-kwa"
"RoboCop","RoboCop"
"The Dying Gaul","The Dying Gaul"
"Bee Season","Bee Season"
"Max Schmeling","Max Schmeling"
"Airplane!","Airplane!"
"Bewitching Attraction","Bewitching Attraction"
"The Witches","The Witches"
"Waiting for Guffman","Waiting for Guffman"
"Sweet Dreams","Sweet Dreams"
"Hansel and Gretel","Hansel and Gretel"
"Because I Said So","Because I Said So"
"Water","Water"
"Red Sonja","Red Sonja"
"The Incredibly True Adventure of Two Girls in Love","The Incredibly True Adventure of Two Girls in Love"
"The King of Kong: A Fistful of Quarters","The King of Kong: A Fistful of Quarters"
"Haunted","Haunted"
"Medicine Man","Medicine Man"
"Somewhere","Somewhere"
"The Adventures of Hajji Baba","The Adventures of Hajji Baba"
"Bad Day at Black Rock","Bad Day at Black Rock"
"Der Untergang","Der Untergang"
"Prizzi's Honor","Prizzi's Honor"
"Fled","Fled"
"The Other Boleyn Girl","The Other Boleyn Girl"
"Man on Fire","Man on Fire"
"Dirty Dancing","Dirty Dancing"
"Scream 4","Scream 4"
"The Life of David Gale","The Life of David Gale"
"Iron Man 2","Iron Man 2"
"Prince of Foxes","Prince of Foxes"
"Desk Set","Desk Set"
"Antichrist","Antichrist"
"The Pink Panther","The Pink Panther"
"Stander","Stander"
"L.A. Confidential","L.A. Confidential"
"My Father the Hero","My Father the Hero"
"The Omen","The Omen"
"The Far Horizons","The Far Horizons"
"Giant","Giant"
"Two Years Before the Mast","Two Years Before the Mast"
"Terri","Terri"
"Only You","Only You"
"13 Going on 30","13 Going on 30"
"The Perfect Game","The Perfect Game"
"My Blue Heaven","My Blue Heaven"
"Saint John of Las Vegas","Saint John of Las Vegas"
"Algiers","Algiers"
"Ernest Goes to Camp","Ernest Goes to Camp"
"For Your Eyes Only","For Your Eyes Only"
"Macon County Line","Macon County Line"
"The Birth of a Nation","The Birth of a Nation"
"Six Days Seven Nights","Six Days Seven Nights"
"American Dreamz","American Dreamz"
"King of Kings","King of Kings"
"Colombiana","Colombiana"
"French Connection II","French Connection II"
"Friday After Next","Friday After Next"
"Extreme Prejudice","Extreme Prejudice"
"Sky High","Sky High"
"Henry's Crime","Henry's Crime"
"Sleepless in Seattle","Sleepless in Seattle"
"The First Texan","The First Texan"
"Runaway","Runaway"
"4 Months, 3 Weeks and 2 Days","4 Months, 3 Weeks and 2 Days"
"Starting Out in the Evening","Starting Out in the Evening"
"Newsies","Newsies"
"That Thing You Do!","That Thing You Do!"
"Seven Days","Seven Days"
"The White Countess","The White Countess"
"Suddenly, Last Summer","Suddenly, Last Summer"
"Monster's Ball","Monster's Ball"
"Breakfast with Scot","Breakfast with Scot"
"Battle in Seattle","Battle in Seattle"
"Celtic Pride","Celtic Pride"
"I Served the King of England","I Served the King of England"
"Spy Hard","Spy Hard"
"Volcano","Volcano"
"Toys","Toys"
"The World's Fastest Indian","The World's Fastest Indian"
"Bodyguards and Assassins","Bodyguards and Assassins"
"He Knows You're Alone","He Knows You're Alone"
"Just Tell Me What You Want","Just Tell Me What You Want"
"Heartbreakers","Heartbreakers"
"Spider-Man","Spider-Man"
"Original Sin","Original Sin"
"Super","Super"
"Cirque du Freak: The Vampire's Assistant","Cirque du Freak: The Vampire's Assistant"
"Return of the Living Dead","Return of the Living Dead"
"White Night","White Night"
"Dungeons & Dragons","Dungeons & Dragons"
"The Scout","The Scout"
"Ginger Snaps 2: Unleashed","Ginger Snaps 2: Unleashed"
"Caramel","Caramel"
"The Quiet Man","The Quiet Man"
"Min Dît: The Children of Diyarbakır","Min Dît: The Children of Diyarbakır"
"The Violent Men","The Violent Men"
"Safe Passage","Safe Passage"
"Grounds for Marriage","Grounds for Marriage"
"Lone Wolf McQuade","Lone Wolf McQuade"
"Harry Brown","Harry Brown"
"The Leading Man","The Leading Man"
"The Icicle Thief","The Icicle Thief"
"Final Destination 5","Final Destination 5"
"A Little Princess","A Little Princess"
"Welcome to Collinwood","Welcome to Collinwood"
"Tarzan","Tarzan"
"We Bought a Zoo","We Bought a Zoo"
"The Country Bears","The Country Bears"
"Big Mommas: Like Father, Like Son","Big Mommas: Like Father, Like Son"
"He Was a Quiet Man","He Was a Quiet Man"
"72 Tenants of Prosperity","72 Tenants of Prosperity"
"Now and Then","Now and Then"
"A Million","A Million"
"Ace in the Hole","Ace in the Hole"
"The Dead Girl","The Dead Girl"
"Top Hat","Top Hat"
"Bones","Bones"
"Diggers","Diggers"
"A Star Is Born","A Star Is Born"
"Woman on the Beach","Woman on the Beach"
"The Secret Garden","The Secret Garden"
"A Christmas Tale","A Christmas Tale"
"Ted Bundy","Ted Bundy"
"Vice Squad","Vice Squad"
"Scary Movie 2","Scary Movie 2"
"Burnt by the Sun 2","Burnt by the Sun 2"
"3:10 to Yuma","3:10 to Yuma"
"Battlefield Earth","Battlefield Earth"
"Out of the Dark","Out of the Dark"
"Vigil in the Night","Vigil in the Night"
"Life Before Her Eyes","Life Before Her Eyes"
"Semum","Semum"
"The House on Carroll Street","The House on Carroll Street"
"Cars","Cars"
"The General's Daughter","The General's Daughter"
"Mama's Boy","Mama's Boy"
"Jonah Hex","Jonah Hex"
"Queen Christina","Queen Christina"
"The Birds and the Bees","The Birds and the Bees"
"The Far Country","The Far Country"
"The Other Sister","The Other Sister"
"Heart Condition","Heart Condition"
"Light of Day","Light of Day"
"It's a Wonderful Life","It's a Wonderful Life"
"The Odd Life of Timothy Green","The Odd Life of Timothy Green"
"The Racers","The Racers"
"More Than a Game","More Than a Game"
"Ransom!","Ransom!"
"The Victim","The Victim"
"Macao","Macao"
"Deck the Halls","Deck the Halls"
"Body of Lies","Body of Lies"
"Sabrina","Sabrina"
"Hoot","Hoot"
"Soul Food","Soul Food"
"No Country for Old Men","No Country for Old Men"
"The Bear","The Bear"
"8mm","8mm"
"I'll Do Anything","I'll Do Anything"
"Octopussy","Octopussy"
"The Last King of Scotland","The Last King of Scotland"
"Trixie","Trixie"
"The Brothers Bloom","The Brothers Bloom"
"Behave Yourself!","Behave Yourself!"
"The Rescuers","The Rescuers"
"Altered States","Altered States"
"RV","RV"
"The Stepford Wives","The Stepford Wives"
"One Week","One Week"
"Panic","Panic"
"Fate","Fate"
"Tadpole","Tadpole"
"Death Wish","Death Wish"
"Awakenings","Awakenings"
"Something to Talk About","Something to Talk About"
"Screwed","Screwed"
"Caligula","Caligula"
"Dirty Pretty Things","Dirty Pretty Things"
"Critical Condition","Critical Condition"
"Happy, Texas","Happy, Texas"
"Sugar & Spice","Sugar & Spice"
"Munich","Munich"
"Crocodile Dundee II","Crocodile Dundee II"
"The In Crowd","The In Crowd"
"The Girl with the Dragon Tattoo","The Girl with the Dragon Tattoo"
"The Searchers","The Searchers"
"The Wizard of Oz","The Wizard of Oz"
"Camp","Camp"
"Carrington","Carrington"
"Adam & Steve","Adam & Steve"
"Lady Vengeance","Lady Vengeance"
"Dummy","Dummy"
"Flash of Genius","Flash of Genius"
"S1m0ne","S1m0ne"
"Unknown","Unknown"
"The Big Town","The Big Town"
"Free Style","Free Style"
"Lost in Translation","Lost in Translation"
"Going All the Way","Going All the Way"
"Tank Girl","Tank Girl"
"Cat People","Cat People"
"Wide Awake","Wide Awake"
"Mac & Devin Go to High School","Mac & Devin Go to High School"
"We Think the World of You","We Think the World of You"
"Babette's Feast","Babette's Feast"
"The Unknown Woman","The Unknown Woman"
"The Family That Preys","The Family That Preys"
"Hachiko: A Dog's Story","Hachiko: A Dog's Story"
"Little Children","Little Children"
"Pokémon: Destiny Deoxys","Pokémon: Destiny Deoxys"
"Breathless","Breathless"
"The New World","The New World"
"40 Days and 40 Nights","40 Days and 40 Nights"
"Save the Green Planet!","Save the Green Planet!"
"Not Worth a Fig","Not Worth a Fig"
"The 300 Spartans","The 300 Spartans"
"Ay Juancito","Ay Juancito"
"There's Always Tomorrow","There's Always Tomorrow"
"Obsession","Obsession"
"Bronson","Bronson"
"Highlander","Highlander"
"Queen of Blood","Queen of Blood"
"Miami Rhapsody","Miami Rhapsody"
"Krippendorf's Tribe","Krippendorf's Tribe"
"The Hidden","The Hidden"
"Failure to Launch","Failure to Launch"
"Hahaha","Hahaha"
"Stargate: Continuum","Stargate: Continuum"
"Morgan Stewart's Coming Home","Morgan Stewart's Coming Home"
"Echo Park","Echo Park"
"Back to School","Back to School"
"Chungking Express","Chungking Express"
"Macabre","Macabre"
"The Fighter","The Fighter"
"Belly","Belly"
"The Odd Couple","The Odd Couple"
"Hotel Rwanda","Hotel Rwanda"
"The Hidden Jungle","The Hidden Jungle"
"Gulliver's Travels","Gulliver's Travels"
"The Last Frontier","The Last Frontier"
"My Best Friend's Girl","My Best Friend's Girl"
"Stuck","Stuck"
"A Perfect Getaway","A Perfect Getaway"
"Raising Cain","Raising Cain"
"Burnt Money","Burnt Money"
"The Exorcism of Emily Rose","The Exorcism of Emily Rose"
"Star Wars: The Clone Wars","Star Wars: The Clone Wars"
"The Belle of New York","The Belle of New York"
"Child's Play 3","Child's Play 3"
"Me & You, Us, Forever","Me & You, Us, Forever"
"Polytechnique","Polytechnique"
"Wes Craven's New Nightmare","Wes Craven's New Nightmare"
"MASH","MASH"
"The Dictator","The Dictator"
"I Love Melvin","I Love Melvin"
"Astérix at the Olympic Games","Astérix at the Olympic Games"
"A Simple Life","A Simple Life"
"The Wrestler","The Wrestler"
"Blade: Trinity","Blade: Trinity"
"Face/Off","Face/Off"
"Mystery, Alaska","Mystery, Alaska"
"EdTV","EdTV"
"Vera Cruz","Vera Cruz"
"The Secret Life of Bees","The Secret Life of Bees"
"Willy Wonka & the Chocolate Factory","Willy Wonka & the Chocolate Factory"
"A Good Day to Have an Affair","A Good Day to Have an Affair"
"Ghost Story","Ghost Story"
"Gridlock'd","Gridlock'd"
"The Damned United","The Damned United"
"Radio","Radio"
"Soultaker","Soultaker"
"Chained Heat","Chained Heat"
"The Hustler","The Hustler"
"Gaby: A True Story","Gaby: A True Story"
"Tapeheads","Tapeheads"
"The Air I Breathe","The Air I Breathe"
"The Survivors","The Survivors"
"Confessions of a Dangerous Mind","Confessions of a Dangerous Mind"
"Francis","Francis"
"The Iron Giant","The Iron Giant"
"Popcorn","Popcorn"
"Bright Star","Bright Star"
"The Perfect Holiday","The Perfect Holiday"
"Certified Copy","Certified Copy"
"Harlem Nights","Harlem Nights"
"The Devil in Miss Jones","The Devil in Miss Jones"
"Helen of Troy","Helen of Troy"
"Filth and Wisdom","Filth and Wisdom"
"In Country","In Country"
"Golden Girl","Golden Girl"
"Moving McAllister","Moving McAllister"
"Look Both Ways","Look Both Ways"
"Destry","Destry"
"Meet the Spartans","Meet the Spartans"
"Play the Game","Play the Game"
"It Came from Beneath the Sea","It Came from Beneath the Sea"
"Hard Target","Hard Target"
"Qualquer Gato Vira-Lata","Qualquer Gato Vira-Lata"
"Rango","Rango"
"Animal Factory","Animal Factory"
"Hitch","Hitch"
"War Horse","War Horse"
"Dutch","Dutch"
"Feel the Noise","Feel the Noise"
"Room for One More","Room for One More"
"Eddie","Eddie"
"Two Weeks Notice","Two Weeks Notice"
"Troy","Troy"
"The Mirror Has Two Faces","The Mirror Has Two Faces"
"Departures","Departures"
"A Dirty Carnival","A Dirty Carnival"
"Outrageous Fortune","Outrageous Fortune"
"Magnolia","Magnolia"
"Mr. Destiny","Mr. Destiny"
"In the Cut","In the Cut"
"Impostor","Impostor"
"Wonder Boys","Wonder Boys"
"The Bridges at Toko-Ri","The Bridges at Toko-Ri"
"The Cave","The Cave"
"Even the Rain","Even the Rain"
"Abbott and Costello Meet the Invisible Man","Abbott and Costello Meet the Invisible Man"
"Country Strong","Country Strong"
"To Rome with Love","To Rome with Love"
"Sunflower","Sunflower"
"Cradle 2 the Grave","Cradle 2 the Grave"
"Across the Universe","Across the Universe"
"The Ruins","The Ruins"
"Addams Family Values","Addams Family Values"
"Barbie: A Fairy Secret","Barbie: A Fairy Secret"
"Monster","Monster"
"My Fellow Americans","My Fellow Americans"
"Oscar","Oscar"
"The Wedding Banquet","The Wedding Banquet"
"The Beverly Hillbillies","The Beverly Hillbillies"
"Breaker Morant","Breaker Morant"
"Love and Death on Long Island","Love and Death on Long Island"
"Prophecy","Prophecy"
"The Crew","The Crew"
"Japan Sinks","Japan Sinks"
"Lucía, Lucía","Lucía, Lucía"
"The Hills Have Eyes","The Hills Have Eyes"
"King of New York","King of New York"
"We're Not Married!","We're Not Married!"
"Fast Girls","Fast Girls"
"Double Jeopardy","Double Jeopardy"
"The Four Horsemen of the Apocalypse","The Four Horsemen of the Apocalypse"
"A Tiger's Tale","A Tiger's Tale"
"Little Fockers","Little Fockers"
"Road to Singapore","Road to Singapore"
"The Animal Kingdom","The Animal Kingdom"
"Breathless","Breathless"
"Mermaids","Mermaids"
"Sea of Love","Sea of Love"
"The Sand Pebbles","The Sand Pebbles"
"A Chorus Line","A Chorus Line"
"The Time Traveler's Wife","The Time Traveler's Wife"
"Two Family House","Two Family House"
"Excess Baggage","Excess Baggage"
"The Russians Are Coming, the Russians Are Coming","The Russians Are Coming, the Russians Are Coming"
"Half Shot at Sunrise","Half Shot at Sunrise"
"The Others","The Others"
"The Good Heart","The Good Heart"
"Airport 1975","Airport 1975"
"Lost in Space","Lost in Space"
"In Name Only","In Name Only"
"Jeepers Creepers II","Jeepers Creepers II"
"Innocent Steps","Innocent Steps"
"Cool World","Cool World"
"House of the Dead","House of the Dead"
"Shadows in the Palace","Shadows in the Palace"
"Star Wars Episode II: Attack of the Clones","Star Wars Episode II: Attack of the Clones"
"Harley Davidson and the Marlboro Man","Harley Davidson and the Marlboro Man"
"The Apple Dumpling Gang","The Apple Dumpling Gang"
"Secretariat","Secretariat"
"The Town","The Town"
"Underground","Underground"
"Take Shelter","Take Shelter"
"Bad Teacher","Bad Teacher"
"Extract","Extract"
"St. George Shoots the Dragon","St. George Shoots the Dragon"
"Like Dandelion Dust","Like Dandelion Dust"
"Howards End","Howards End"
"Permanent Midnight","Permanent Midnight"
"Talladega Nights: The Ballad of Ricky Bobby","Talladega Nights: The Ballad of Ricky Bobby"
"His Kind of Woman","His Kind of Woman"
"Pleasantville","Pleasantville"
"Harold & Kumar Escape from Guantanamo Bay","Harold & Kumar Escape from Guantanamo Bay"
"Suspect","Suspect"
"Woman on Top","Woman on Top"
"Paris 36","Paris 36"
"Valmont","Valmont"
"Squanto: A Warrior's Tale","Squanto: A Warrior's Tale"
"Blues Brothers 2000","Blues Brothers 2000"
"Please Give","Please Give"
"The Stupids","The Stupids"
"Soapdish","Soapdish"
"The Edge of Heaven","The Edge of Heaven"
"That Was Then... This Is Now","That Was Then... This Is Now"
"The Comedians","The Comedians"
"Insomnia","Insomnia"
"Back to Bataan","Back to Bataan"
"Ulysses","Ulysses"
"We Were Soldiers","We Were Soldiers"
"The Deep Blue Sea","The Deep Blue Sea"
"Little Shop of Horrors","Little Shop of Horrors"
"K-PAX","K-PAX"
"Almost Famous","Almost Famous"
"Kinky Boots","Kinky Boots"
"This Is My Father","This Is My Father"
"Fantastic Four","Fantastic Four"
"Starlift","Starlift"
"Beyond the Years","Beyond the Years"
"The China Syndrome","The China Syndrome"
"Jesus Christ Superstar","Jesus Christ Superstar"
"Malcolm","Malcolm"
"The End","The End"
"Tennis no Ojisama - Futari no Samurai","Tennis no Ojisama - Futari no Samurai"
"Girl Shy","Girl Shy"
"The Man from Nowhere","The Man from Nowhere"
"The Hot Chick","The Hot Chick"
"Rain Man","Rain Man"
"The Other Man","The Other Man"
"The First Wives Club","The First Wives Club"
"Ski School","Ski School"
"5th Ave Girl","5th Ave Girl"
"My Life","My Life"
"Showtime","Showtime"
"Slap Shot","Slap Shot"
"Mad Love","Mad Love"
"Red Riding Hood","Red Riding Hood"
"The Masked Gang: Cyprus","The Masked Gang: Cyprus"
"Benji: Off the Leash!","Benji: Off the Leash!"
"American Graffiti","American Graffiti"
"How She Move","How She Move"
"Born into Brothels: Calcutta's Red Light Kids","Born into Brothels: Calcutta's Red Light Kids"
"Serendipity","Serendipity"
"Morning Glory","Morning Glory"
"Affliction","Affliction"
"Flubber","Flubber"
"21 Grams","21 Grams"
"Going by the Book","Going by the Book"
"A Nightmare on Elm Street 4: The Dream Master","A Nightmare on Elm Street 4: The Dream Master"
"Children of Heaven","Children of Heaven"
"Carriers","Carriers"
"The Blue Angel","The Blue Angel"
"My Giant","My Giant"
"The Pursuit of Happyness","The Pursuit of Happyness"
"The Dark Crystal","The Dark Crystal"
"CB4","CB4"
"Starman","Starman"
"The Red Violin","The Red Violin"
"Land of the Pharaohs","Land of the Pharaohs"
"The Rocketeer","The Rocketeer"
"Lost and Delirious","Lost and Delirious"
"Jaws: The Revenge","Jaws: The Revenge"
"The Butcher Boy","The Butcher Boy"
"It Might Get Loud","It Might Get Loud"
"The Package","The Package"
"Vengeance","Vengeance"
"Free Man","Free Man"
"Humanoids from the Deep","Humanoids from the Deep"
"Airport '77","Airport '77"
"Dark Blue World","Dark Blue World"
"Little Darlings","Little Darlings"
"Conduct Zero","Conduct Zero"
"The Naked Spur","The Naked Spur"
"The Octagon","The Octagon"
"The Rescue","The Rescue"
"Soldiers of Fortune","Soldiers of Fortune"
"Spirit: Stallion of the Cimarron","Spirit: Stallion of the Cimarron"
"Where the Wild Things Are","Where the Wild Things Are"
"The Ice Harvest","The Ice Harvest"
"Extraordinary Measures","Extraordinary Measures"
"Bachelor Party","Bachelor Party"
"Striptease","Striptease"
"Just One of the Guys","Just One of the Guys"
"Coach Carter","Coach Carter"
"Love with the Proper Stranger","Love with the Proper Stranger"
"Mother Carey's Chickens","Mother Carey's Chickens"
"The January Man","The January Man"
"Street Smart","Street Smart"
"The Brave One","The Brave One"
"The Vagabond King","The Vagabond King"
"Passed Away","Passed Away"
"Touch of Pink","Touch of Pink"
"Fat Man and Little Boy","Fat Man and Little Boy"
"Joe Butterfly","Joe Butterfly"
"Fire Birds","Fire Birds"
"Hollywood Shuffle","Hollywood Shuffle"
"The Jewel of the Nile","The Jewel of the Nile"
"Ajami","Ajami"
"A Barefoot Dream","A Barefoot Dream"
"Jackie Brown","Jackie Brown"
"Masked and Anonymous","Masked and Anonymous"
"Royal Kill","Royal Kill"
"Harry Potter and the Half-Blood Prince","Harry Potter and the Half-Blood Prince"
"Bringing up Baby","Bringing up Baby"
"Kingpin","Kingpin"
"Seven Psychopaths","Seven Psychopaths"
"Vengeance Valley","Vengeance Valley"
"Friends and Lovers","Friends and Lovers"
"Meet Joe Black","Meet Joe Black"
"The Wedding Singer","The Wedding Singer"
"Yossi & Jagger","Yossi & Jagger"
"The Barretts of Wimpole Street","The Barretts of Wimpole Street"
"The Man","The Man"
"Almost Heroes","Almost Heroes"
"Bright Angel","Bright Angel"
"The Mask","The Mask"
"Lovely & Amazing","Lovely & Amazing"
"High School Musical 3: Senior Year","High School Musical 3: Senior Year"
"Black Gold","Black Gold"
"Friday the 13th Part VII: The New Blood","Friday the 13th Part VII: The New Blood"
"Vanity Fair","Vanity Fair"
"Mom and Dad Save The World","Mom and Dad Save The World"
"Hello Schoolgirl","Hello Schoolgirl"
"Don't Say a Word","Don't Say a Word"
"The Snows of Kilimanjaro","The Snows of Kilimanjaro"
"Wanda Nevada","Wanda Nevada"
"The Big Doll House","The Big Doll House"
"Running Scared","Running Scared"
"Romeo & Juliet: Sealed with a Kiss","Romeo & Juliet: Sealed with a Kiss"
"Kangaroo","Kangaroo"
"Casino Royale","Casino Royale"
"Sleuth","Sleuth"
"Life Is Sweet","Life Is Sweet"
"X-Men: First Class","X-Men: First Class"
"Avenging Force","Avenging Force"
"Stingaree","Stingaree"
"The Thief and the Cobbler","The Thief and the Cobbler"
"Drive","Drive"
"Mr. Baseball","Mr. Baseball"
"Phffft!","Phffft!"
"May 18","May 18"
"Daddy Long Legs","Daddy Long Legs"
"The Desperate Hours","The Desperate Hours"
"The Wolfman","The Wolfman"
"Disaster Movie","Disaster Movie"
"Before Sunrise","Before Sunrise"
"Step Up 4ever","Step Up 4ever"
"Moment by Moment","Moment by Moment"
"16 Blocks","16 Blocks"
"Centurion","Centurion"
"The Rite","The Rite"
"Bananas","Bananas"
"Kill Bill Volume 2","Kill Bill Volume 2"
"Pardners","Pardners"
"Brüno","Brüno"
"Double Dragon","Double Dragon"
"All Over Me","All Over Me"
"Johnny Handsome","Johnny Handsome"
"REC 3","REC 3"
"Three for the Show","Three for the Show"
"The Prince of Egypt","The Prince of Egypt"
